time	temp
200.8	23.493
201.093	23.5627
201.533	23.6639
201.68	23.6969
201.9	23.7455
202.153	23.8004
203.153	24.0075
203.504	24.0772
203.673	24.1103
204.096	24.1918
204.349	24.2399
204.518	24.2717
204.94	24.3506
205.447	24.4443
206.447	24.6284
207	24.7303
207.148	24.7579
207.328	24.7916
207.624	24.8474
207.835	24.8877
208.183	24.9548
208.44	25.0051
208.898	25.0967
209.031	25.1237
209.135	25.145
209.285	25.1761
210.366	25.459
211.366	25.725
212.366	25.991
213.366	26.257
214.366	26.523
215.366	26.789
216.366	27.0551
217.366	27.3211
218.366	27.5871
219.366	27.8531
220.366	28.1191
221.366	28.3852
221.89	28.5245
222.134	28.5973
222.236	28.6277
222.41	28.6797
222.791	28.7935
222.941	28.8383
223.054	28.872
223.2	28.9156
223.311	28.9488
223.429	28.984
223.568	29.0255
223.805	29.0963
224.18	29.2082
225.18	29.5054
225.35	29.5559
225.713	29.6633
225.991	29.7453
226.262	29.825
226.574	29.9165
226.857	29.9992
227.065	30.0598
227.705	30.2452
228.705	30.528
229.705	30.8108
229.853	30.8526
230.853	31.1225
231.695	31.3498
231.941	31.4142
232.948	31.6719
233.596	31.8333
234.042	31.9417
234.464	32.0423
234.683	32.0938
234.897	32.1435
235.093	32.1886
235.235	32.221
236.235	32.4372
237.06	32.6156
237.215	32.6471
237.42	32.6883
238.196	32.8394
238.333	32.8653
238.748	32.9427
239.748	33.1207
240.24	33.2083
241.24	33.3864
242.24	33.5645
243.24	33.7426
244.24	33.9208
245.24	34.0989
246.24	34.277
247.24	34.4551
248.24	34.6332
248.402	34.6621
248.551	34.6939
248.702	34.7266
248.914	34.7731
249.035	34.7999
249.184	34.8334
249.309	34.8617
249.422	34.8876
249.616	34.9326
249.731	34.9595
250.269	35.0892
250.382	35.1172
250.5	35.1467
250.624	35.178
250.759	35.2125
250.918	35.2536
251.023	35.2811
251.362	35.3714
251.992	35.5465
252.217	35.6115
252.591	35.7222
252.697	35.7542
252.947	35.8308
253.049	35.8624
253.503	36.0061
253.668	36.0594
253.822	36.1096
254.049	36.1845
254.243	36.2493
254.524	36.3443
254.771	36.429
254.997	36.5072
255.42	36.6558
255.543	36.6995
255.72	36.7627
255.919	36.8342
256.444	37.0249
256.667	37.1068
256.778	37.1477
257.806	37.5313
258	37.6038
258.111	37.6456
259	37.9814
260	38.3567
261	38.7321
262.088	39.1293
262.25	39.1883
263.25	39.5391
264.203	39.8585
264.5	39.9545
265.36	40.2216
266.36	40.4696
267.36	40.7175
268.36	40.9655
269	41.1242
269.409	41.1974
270.409	41.214
271.409	41.2306
272.409	41.2472
273.409	41.2638
274.409	41.2804
275.409	41.297
275.858	41.3045
276.858	40.9905
277.858	40.6765
278.858	40.3626
279.858	40.0486
280.157	39.9547
280.26	39.9053
281.26	39.3794
282	38.9375
283	38.2327
283.654	37.7719
284.654	36.947
285.666	36.0276
286	35.7238
286.696	35.0535
287.271	34.4868
287.779	33.9793
287.976	33.7814
288.146	33.6103
288.666	33.0862
288.946	32.8041
289.226	32.5227
289.747	32.0023
290	31.7518
291	30.7896
291.313	30.4885
292.039	29.8274
292.549	29.3842
292.676	29.2769
292.931	29.0654
293.059	28.9613
293.186	28.8595
293.441	28.6594
293.569	28.5613
293.696	28.4656
293.824	28.3708
293.951	28.2783
294.078	28.1876
294.206	28.0979
294.461	27.9247
294.588	27.8412
294.716	27.7589
294.843	27.6793
294.971	27.601
295.098	27.5254
296.098	27.0245
296.373	26.8868
296.475	26.8459
296.788	26.7304
296.994	26.663
297.158	26.6142
297.323	26.5698
297.816	26.4649
298.31	26.4038
298.639	26.3887
299.38	26.4334
299.709	26.4899
299.873	26.5268
300.203	26.6187
300.449	26.702
300.614	26.7647
301.025	26.9436
301.19	27.0241
301.437	27.1533
301.766	27.3411
302.465	27.7936
303	28.1832
303.289	28.4071
303.578	28.6394
303.771	28.7988
303.964	28.9613
304.253	29.2098
304.446	29.3789
304.639	29.5502
304.831	29.7226
305.265	30.1182
305.41	30.2518
305.602	30.4295
305.892	30.6991
306	30.7998
306.277	31.0581
306.855	31.595
307.337	32.0367
307.964	32.5961
308.494	33.0496
308.687	33.2093
308.899	33.3808
309.892	34.1209
310	34.1942
310.133	34.2823
310.518	34.5229
310.904	34.7413
311.835	35.1689
312.096	35.2647
312.3	35.3327
312.774	35.4682
313.087	35.5411
313.296	35.5828
313.922	35.676
314.339	35.7134
315	35.7358
315.487	35.7261
315.696	35.7157
316.113	35.6847
316.739	35.6148
317.052	35.5706
317.678	35.4665
